seed,aoi_mean_ms,aoi_std_ms,viol_mean_pct,sla_met
42,131.4660,16.1787,78.7181,0
123,65.5873,52.9092,87.2167,0
256,286.8484,174.8644,64.8236,0
777,1.1316,0.3604,0.2292,1
999,160.3203,7.3170,96.4153,0
1318,176.0474,48.2789,69.1333,0
2461,1.1304,0.1070,0.0611,1
5847,98.4662,52.2048,65.2222,0
7632,40.1731,49.1659,32.7125,0
9234,1.6289,1.8997,4.9472,1
14728,1.0873,0.0207,18.9042,0
18043,3.1017,0.2180,11.9764,0
24571,26.9172,39.3561,78.7500,0
27093,3.9511,7.1450,4.0069,1
31896,1.1408,0.2477,1.6708,1
35624,187.4705,17.2914,97.6250,0
41892,50.2832,66.2581,18.8556,0
47213,161.3606,8.9902,97.2389,0
52768,3.2145,0.5594,2.9764,1
56237,10.5935,28.7211,21.7667,0
61204,3.0413,1.8633,14.5833,0
63415,83.5926,64.7770,45.0319,0
68945,154.4768,7.4204,97.6250,0
71286,110.4751,36.6858,96.1000,0
73512,1.6625,1.1876,0.1542,1
81007,147.1657,8.8541,97.2958,0
84529,1.2423,1.0120,0.2028,1
89346,84.1954,48.9648,76.1972,0
92708,132.9235,31.1082,55.7542,0
99151,23.3588,0.9211,97.4125,0
