"method","block_index","base_seed","episode_count","unique_environment_seed_count","aoi_safety_ms","violation_rate","queue_ce","queue_iot","es_backlog"
"SA-DAoI","1","1000","30","30","15.1025","0.09386822916666666","128.50333333333333","337.24","465.7433333333333"
"SA-DAoI","2","2000","30","30","13.854791666666667","0.08625208333333334","132.93166666666667","334.27333333333337","467.205"
"SA-DAoI","3","3000","30","30","14.316666666666666","0.088634375","131.06166666666667","335.28333333333336","466.345"
"SA-DAoI","4","4000","30","30","15.11875","0.09268359374999999","127.8725","335.03","462.9025"
"SA-DAoI","5","5000","30","30","15.137083333333333","0.09450078125","129.52","331.06333333333333","460.5833333333333"
"Static-RR","1","1000","30","30","157.89166666666668","0.8373622395833333","0.0","0.0","0.0"
"Static-RR","2","2000","30","30","159.50291666666666","0.8373505208333333","0.0","0.0","0.0"
"Static-RR","3","3000","30","30","158.09145833333332","0.8376106770833334","0.0","0.0","0.0"
"Static-RR","4","4000","30","30","161.01791666666668","0.8379557291666667","0.0","0.0","0.0"
"Static-RR","5","5000","30","30","157.774375","0.8371875000000001","0.0","0.0","0.0"
"T-AoI","1","1000","30","30","28.051875","0.2735447916666667","101.55833333333334","219.21","320.7683333333333"
"T-AoI","2","2000","30","30","27.580208333333335","0.27128437499999997","103.74833333333332","216.43333333333334","320.1816666666667"
"T-AoI","3","3000","30","30","28.10666666666667","0.2714880208333333","101.27916666666667","220.17999999999998","321.45916666666665"
"T-AoI","4","4000","30","30","27.872916666666665","0.2713182291666667","102.275","220.24333333333334","322.5183333333333"
"T-AoI","5","5000","30","30","28.19020833333333","0.27239973958333336","102.97166666666666","211.85","314.82166666666666"
"Whittle","1","1000","30","30","50.86729166666667","0.4929677083333333","54.87416666666666","45.169999999999995","100.04416666666665"
"Whittle","2","2000","30","30","50.7375","0.4925127604166667","55.836666666666666","43.95333333333333","99.78999999999999"
"Whittle","3","3000","30","30","51.168125","0.4930903645833334","54.708333333333336","44.25333333333333","98.96166666666666"
"Whittle","4","4000","30","30","50.798125","0.4925614583333333","54.8175","43.65","98.4675"
"Whittle","5","5000","30","30","50.792291666666664","0.49362057291666667","55.0975","44.416666666666664","99.51416666666667"
"DQN-AoI","1","1000","30","30","12.25375","0.02950078125","263.20666666666665","277.3366666666667","540.5433333333333"
"DQN-AoI","2","2000","30","30","9.416875000000001","0.028365625000000002","212.63166666666666","385.02666666666664","597.6583333333333"
"DQN-AoI","3","3000","30","30","10.915208333333334","0.018352864583333336","264.95916666666665","274.1166666666667","539.0758333333333"
"DQN-AoI","4","4000","30","30","10.99","0.028611197916666668","248.18833333333333","306.21666666666664","554.4050000000001"
"DQN-AoI","5","5000","30","30","9.833541666666667","0.027228645833333336","218.66583333333335","365.5566666666667","584.2225"
"PPO-AoI","1","1000","30","30","157.895625","0.8377497395833333","0.0","0.0","0.0"
"PPO-AoI","2","2000","30","30","159.51208333333335","0.83774921875","0.0","0.0","0.0"
"PPO-AoI","3","3000","30","30","158.09145833333332","0.83802421875","0.0","0.0","0.0"
"PPO-AoI","4","4000","30","30","161.01875","0.8383078125","0.0","0.0","0.0"
"PPO-AoI","5","5000","30","30","157.77520833333335","0.8375638020833333","0.0","0.0","0.0"
"C-PPO","1","1000","30","30","1.0860416666666666","0.0","376.0783333333333","735.9866666666666","1112.0649999999998"
"C-PPO","2","2000","30","30","1.0889583333333335","0.0","375.76666666666665","735.69","1111.4566666666665"
"C-PPO","3","3000","30","30","1.0770833333333334","0.0","375.87416666666667","736.19","1112.0641666666668"
"C-PPO","4","4000","30","30","1.0858333333333334","0.0","375.9425","735.5166666666667","1111.4591666666668"
"C-PPO","5","5000","30","30","1.0964583333333333","0.0","375.49","735.05","1110.54"
