method,seed,aoi_safety_ms,viol_rate,es_backlog,queue_ce,queue_iot
SA-DAoI,10,15.29,0.09401796875,463.31416666666667,126.25083333333333,337.06333333333333
SA-DAoI,20,14.345833333333333,0.08598046875,470.42083333333335,128.8475,341.5733333333333
SA-DAoI,30,13.917291666666666,0.08535390624999999,477.795,129.745,348.05
SA-DAoI,40,14.656666666666668,0.08903776041666665,472.1258333333334,128.2225,343.90333333333336
SA-DAoI,50,14.943333333333333,0.09297109375000003,462.87666666666667,129.48000000000005,333.39666666666665
Static-RR,10,159.64354166666666,0.8376296875000055,0.0,0.0,0.0
Static-RR,20,159.25750000000002,0.8376325520833385,0.0,0.0,0.0
Static-RR,30,159.09687499999998,0.8374325520833387,0.0,0.0,0.0
Static-RR,40,158.80062499999997,0.8371473958333389,0.0,0.0,0.0
Static-RR,50,159.21229166666663,0.8371223958333389,0.0,0.0,0.0
T-AoI,10,27.69333333333333,0.27137942708333335,318.6408333333333,102.97083333333332,215.67
T-AoI,20,27.888333333333332,0.2706997395833334,322.4508333333334,102.13083333333334,220.32000000000002
T-AoI,30,27.81479166666666,0.27197057291666665,324.7316666666667,102.315,222.41666666666666
T-AoI,40,27.665208333333332,0.27041562500000005,327.7633333333334,102.34999999999998,225.41333333333338
T-AoI,50,27.598750000000003,0.27178385416666667,325.05,103.33666666666666,221.71333333333334
Whittle,10,50.61895833333334,0.4926018229166669,98.79583333333332,54.21249999999999,44.583333333333336
Whittle,20,50.498749999999994,0.49218828124999997,99.02166666666666,54.888333333333335,44.133333333333326
Whittle,30,50.60374999999999,0.49259427083333335,99.4625,55.362500000000004,44.099999999999994
Whittle,40,50.80104166666667,0.49272135416666674,99.78750000000001,55.27083333333335,44.51666666666666
Whittle,50,50.81395833333333,0.49336953125000005,101.55583333333334,55.21916666666666,46.33666666666667
DQN-AoI,10,9.898541666666667,0.02370416666666667,555.8741666666666,242.67749999999998,313.19666666666666
DQN-AoI,20,10.838541666666668,0.022769270833333334,552.7633333333334,242.74333333333334,310.0200000000001
DQN-AoI,30,8.944583333333334,0.02227604166666667,559.6808333333333,248.09416666666667,311.58666666666664
DQN-AoI,40,9.330000000000002,0.025169010416666672,573.1683333333333,229.66166666666666,343.5066666666666
DQN-AoI,50,8.742291666666667,0.029150260416666667,578.3725000000001,230.94250000000002,347.43
PPO-AoI,10,159.64479166666666,0.8380875000000055,0.0,0.0,0.0
PPO-AoI,20,159.25791666666666,0.8380528645833387,0.0,0.0,0.0
PPO-AoI,30,159.0970833333333,0.8378187500000053,0.0,0.0,0.0
PPO-AoI,40,158.80104166666666,0.8375729166666718,0.0,0.0,0.0
PPO-AoI,50,159.2139583333333,0.8375440104166725,0.0,0.0,0.0
C-PPO,10,1.081041666666667,0.0,1112.0275,375.6408333333333,736.3866666666667
C-PPO,20,1.0877083333333333,0.0,1112.5041666666666,375.91083333333336,736.5933333333334
C-PPO,30,1.0866666666666667,0.0,1112.0675,376.01416666666665,736.0533333333334
C-PPO,40,1.0827083333333332,0.0,1111.0733333333333,375.71999999999997,735.3533333333334
C-PPO,50,1.0804166666666668,0.0,1110.77,375.51,735.2599999999999
